ls_cost,ls_amount
6.13614e8,4.5
6.14615e8,4.5
6.15616e8,4.5
6.16617e8,4.5
6.17618e8,4.5
6.18619e8,4.5
6.1962e8,4.5
6.20621e8,4.5
6.21622e8,4.5
6.22623e8,4.5
6.23624e8,4.5
6.24625e8,4.5
6.25626e8,4.5
6.26627e8,4.5
6.27628e8,4.5
6.28629e8,4.5
6.2963e8,4.5
6.30631e8,4.5
6.31632e8,4.5
6.32633e8,4.5
6.33634e8,4.5
6.34635e8,4.5
6.35636e8,4.5
6.36637e8,4.5
6.37638e8,4.5
6.38639e8,4.5
6.3964e8,4.5
6.40641e8,4.5
6.41642e8,4.5
6.42643e8,4.5
6.43644e8,4.5
6.44645e8,4.5
6.45646e8,4.5
6.46647e8,4.5
6.47648e8,4.5
6.48649e8,4.5
6.4965e8,4.5
6.50651e8,4.5
6.51652e8,4.5
6.52653e8,4.5
6.53654e8,4.5
6.54655e8,4.5
6.55656e8,4.5
6.56657e8,4.5
6.57658e8,4.5
6.58659e8,4.5
6.5966e8,4.5
6.60661e8,4.5
6.61662e8,4.5
6.62663e8,4.5
6.63664e8,4.5
6.64665e8,4.5
6.65666e8,4.5
6.66667e8,4.5
6.6766803e8,4.5
6.68669e8,4.5
6.6967e8,4.5
6.70671e8,4.5
6.71672e8,4.5
6.72673e8,4.5
6.73674e8,4.5
6.74675e8,4.5
6.75676e8,4.5
6.76677e8,4.5
6.77678e8,4.5
6.78679e8,4.5
6.7968e8,4.5
6.80681e8,4.5
6.81682e8,4.5
6.82683e8,4.5
6.8368403e8,4.5
6.84685e8,4.5
6.85686e8,4.5
6.86687e8,4.5
6.87688e8,4.5
6.88689e8,4.5
6.8969e8,4.5
6.90691e8,4.5
6.91692e8,4.5
6.92693e8,4.5
6.93694e8,4.5
6.94695e8,4.5
6.95696e8,4.5
6.96697e8,4.5
6.97698e8,4.5
6.98699e8,4.5
6.997e8,4.5
7.00701e8,4.5
7.01702e8,4.5
7.02703e8,4.5
7.03704e8,4.5
